vrsta_naloga,vrsta_institucije,grad,email,nalog,Username,Full Name,Biography,Followers Count,Following Count,Posts Count,Is Private,Is Verified,External URL,Category,Pronouns,Bio Link 1,Bio Link 2,Bio Link 3,,,,,ime_institucije
Ustanove,Viša,Beograd,,https://www.instagram.com/grf.blokade/,grf.blokade,GRF BLOKADE,"🔺 Samoorganizovana grupa studenata Građevinskog fakulteta Univerziteta u Beogradu
🫵🏼 Pokaži da ti je stalo!","2,653",45,74,FALSE,FALSE,,Student Union,,,,,,,,,Gradjevinski 
Ustanove,Viša,Beograd,,https://www.instagram.com/blokada.fb/,blokada.fb,Studenti Fakulteta bezbednosti u Beogradu,"""Bezbednost je imperativ naše slobode.""","2,360",107,22,FALSE,FALSE,https://docs.google.com/document/d/1ccjf2h49ldl_bPK_17yW37oVt8_1lxO2zK1RO5v8c_g/edit?usp=sharing,Artist,,https://docs.google.com/document/d/1ccjf2h49ldl_bPK_17yW37oVt8_1lxO2zK1RO5v8c_g/edit?usp=sharing,https://docs.google.com/document/d/1ccjf2h49ldl_bPK_17yW37oVt8_1lxO2zK1RO5v8c_g/edit?usp=sharing,,,,,,Bezbednost
Ustanove,Viša,Beograd,,https://www.instagram.com/poljoprivredniblokada/,poljoprivredniblokada,БЛОКАДА ПОЉОПРИВРЕДНИ,Студенти Пољопривредног факултета у Београду се придружују блокадама!,"2,899",49,34,FALSE,FALSE,,,,,,,,,,,Poljoprivredni
Ustanove,Viša,Beograd,,https://www.instagram.com/masinci.u.blokadi/,masinci.u.blokadi,Машинци,Студентски пленум Машинског факултета Универзитета у Београду,"2,788",45,79,FALSE,FALSE,https://linktr.ee/masinci,Student Union,,https://linktr.ee/masinci,https://linktr.ee/masinci,,,,,,Masinski
Ustanove,Viša,Beograd,,https://www.instagram.com/filozofi.u.blokadi/?hl=en&g=5,filozofi.u.blokadi,Blokada Filozofskog fakulteta u Beogradu,Zvanična stranica samoorganizovanih studenata Filozofskog fakulteta Univerziteta u Beogradu u blokadi!,"2,562",39,57,FALSE,FALSE,https://docs.google.com/document/d/1kUXA7vdB1IvK8-VaToqP44bL8lW5h6Ha2LJTZPGYkTM/edit?usp=drivesdk,Community,,https://docs.google.com/document/d/1kUXA7vdB1IvK8-VaToqP44bL8lW5h6Ha2LJTZPGYkTM/edit?usp=drivesdk,https://docs.google.com/document/d/1kUXA7vdB1IvK8-VaToqP44bL8lW5h6Ha2LJTZPGYkTM/edit?usp=drivesdk,https://youtu.be/NOhDYxKLZg4?si=6Gp07_q0wBxQqqf1,,,,,
Ustanove,Viša,Beograd,,https://www.instagram.com/flu_blokada/,flu_blokada,,Zvaničan studentski profil blokade Fakulteta likovnih umetnosti u Beogradu,"1,885",40,21,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Beograd,studenti.etf.pr@gmail.com,https://www.instagram.com/etfublokadi,etfublokadi,Studenti Elektrotehničkog fakulteta Univerziteta u Beogradu,Kontakt: studenti.etf.pr@gmail.com,"6,805",51,97,FALSE,FALSE,https://www.tiktok.com/@etfublokadi?_t=8s6YoI7jTDa&_r=1&fbclid=PAZXh0bgNhZW0CMTEAAaZH4SVpUAz9sTYBElIGMoEsIMw6_j6Ptw9BkBJxv6ua3oAV8w_zup-Wjxc_aem_Iit2vt84vRBcVajE2jcmkw,Community,,https://www.tiktok.com/@etfublokadi?_t=8s6YoI7jTDa&_r=1&fbclid=PAZXh0bgNhZW0CMTEAAaZH4SVpUAz9sTYBElIGMoEsIMw6_j6Ptw9BkBJxv6ua3oAV8w_zup-Wjxc_aem_Iit2vt84vRBcVajE2jcmkw,https://www.tiktok.com/@etfublokadi?_t=8s6YoI7jTDa&_r=1&fbclid=PAZXh0bgNhZW0CMTEAAaZH4SVpUAz9sTYBElIGMoEsIMw6_j6Ptw9BkBJxv6ua3oAV8w_zup-Wjxc_aem_Iit2vt84vRBcVajE2jcmkw,https://docs.google.com/forms/d/e/1FAIpQLSfRmeVRtEAv1Y-LwEn3oWFb_iU8bU9jSgF96J2-zT_Hj-gT7g/viewform,,,,,
Ustanove,Viša,Beograd,,https://www.instagram.com/blokada.fpn/,blokada.fpn,Blokada Fakulteta političkih nauka,Studenti Fakulteta političkih nauka traže krivičnu odgovornost za tragediju u Novom Sadu i za napade na studente i profesore na protestima! ✊🏻,"5,046",44,56,FALSE,FALSE,,Community,,,,,,,,,
Ustanove,Viša,Novi Sad,,https://www.instagram.com/blokada.auns/,blokada.auns,AUNS studenti u blokadi,Zvanični profil studenata u blokadi Akademije umetnosti u Novom Sadu,"4,310",31,31,FALSE,FALSE,,Student Union,,,,,,,,,
Ustanove,Viša,Beograd,,https://www.instagram.com/vhs.blokada/?__d=1%252F,vhs.blokada,,"Neprofitna, nestranačka, samoorganizovana grupa studenata VHS.
Blokada🖐🏽❗️",768,65,9,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Beograd,grupastudenata.stomfbg@gmail.com,https://www.instagram.com/stomfbg_blokada/,stomfbg_blokada,Samoorganizovana grupa studenata stomatologije,"Zvanična instagram stranica grupa studenata stomatologije.
Mail: grupastudenata.stomfbg@gmail.com","1,785",44,66,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Beograd,fasperstudenti.inicijativa@gmail.com,https://www.instagram.com/fasper_inicijativa_studenata/,fasper_inicijativa_studenata,FASPER U BLOKADI NASTAVE,"Mejl adresa za donacije:
fasperstudenti.inicijativa@gmail.com","1,439",126,18,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Beograd,,https://www.instagram.com/filoloski.blokada/?hl=en&g=5,filoloski.blokada,Blokada Filološkog fakulteta Univerziteta u Beogradu,"Samoorganizovani studenti Filološkog fakulteta u blokadi 📝
Plenum: 14:30 pon–sub, Sala Heroja
Link ka Blokadnom časopisu:","2,896",60,35,FALSE,FALSE,https://filoblok.info/,Community,,https://filoblok.info/,https://filoblok.info/,,,,,,
Ustanove,Viša,Beograd,bioloziublokadi@gmail.com,https://www.instagram.com/blokada.bioloski/,blokada.bioloski,Zvaničan profil studenata Biološkog fakulteta u blokadi,▫️bioloziublokadi@gmail.com,"1,347",47,28,FALSE,FALSE,https://forms.gle/NJab9As3wegnqrxm8,,,https://forms.gle/NJab9As3wegnqrxm8,https://forms.gle/NJab9As3wegnqrxm8,https://docs.google.com/forms/d/e/1FAIpQLScB9pAkfhsoqOSunz-IPLNL7H3iAoE_F4rMhfjHv4MGZ2Qo9A/viewform?usp=header,,,,,
Ustanove,Viša,Novi Sad,,https://www.instagram.com/ftn_se_budi/,ftn_se_budi,Studenti FTN-a,Jedini zvanični profil studentske blokade Fakulteta tehničkih nauka u Novom Sadu.,"10,829",26,66,FALSE,FALSE,https://docs.google.com/spreadsheets/d/16AXq1PjjwGswSHpF5pQDGZMJ1BG7tAShS85yz6hAxKw/htmlview?fbclid=PAY2xjawHH_jhleHRuA2FlbQIxMAABpsFzhhqtxi2XzH1T6zuAO4NN53MQLV_JWTTvRfKo1jwtrXAwHD6nwIVohQ_aem_wwErX0J-aO1D56nIKd1hwQ,Education,,https://docs.google.com/spreadsheets/d/16AXq1PjjwGswSHpF5pQDGZMJ1BG7tAShS85yz6hAxKw/htmlview?fbclid=PAY2xjawHH_jhleHRuA2FlbQIxMAABpsFzhhqtxi2XzH1T6zuAO4NN53MQLV_JWTTvRfKo1jwtrXAwHD6nwIVohQ_aem_wwErX0J-aO1D56nIKd1hwQ,https://docs.google.com/spreadsheets/d/16AXq1PjjwGswSHpF5pQDGZMJ1BG7tAShS85yz6hAxKw/htmlview?fbclid=PAY2xjawHH_jhleHRuA2FlbQIxMAABpsFzhhqtxi2XzH1T6zuAO4NN53MQLV_JWTTvRfKo1jwtrXAwHD6nwIVohQ_aem_wwErX0J-aO1D56nIKd1hwQ,https://docs.google.com/document/d/1RXaybTcz1u6TMK6chirIiCk9pRHZ-oDkjFV_HtJt5XQ/mobilebasic,,,,,
Ustanove,Viša,Novi Sad,,https://www.instagram.com/blokada.ffuns/,blokada.ffuns,Blokada FFUNS,"Zvaničan profil blokade Filozofskog fakulteta u Novom Sadu
🤲🏻🩸","3,916",72,40,FALSE,FALSE,https://linktr.ee/blokadaffuns,Community,,https://linktr.ee/blokadaffuns,https://linktr.ee/blokadaffuns ,,,,,,
Ustanove,Viša,Novi Sad,,https://www.instagram.com/tehnoloski_u_blokadi/,tehnoloski_u_blokadi,Blokada Tehnološkog fakulteta,Univerzitet u Novom Sadu,"1,614",124,34,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Nis,,https://www.instagram.com/ngs_niss/?hl=en,ngs_niss,Neformalna grupa niških studenata,Jug neće ćutati!,"5,482",214,69,FALSE,FALSE,https://invite.viber.com/?g2=AQBLw8B%2Bzwx3YlPnRdsmYFMDeR0my0CFMfql7xwRzunFdhoobyvkB65Wv2q75BNk,Community,,https://invite.viber.com/?g2=AQBLw8B%2Bzwx3YlPnRdsmYFMDeR0my0CFMfql7xwRzunFdhoobyvkB65Wv2q75BNk,https://invite.viber.com/?g2=AQBLw8B%2Bzwx3YlPnRdsmYFMDeR0my0CFMfql7xwRzunFdhoobyvkB65Wv2q75BNk,,,,,,
Ustanove,Viša,Novi Sad,,https://www.instagram.com/poljns_blokada/,poljns_blokada,Poljoprivredni fakultet u Novom Sadu - Blokada,"Zvanična stranica studenata u blokadi Poljoprivrednog fakulteta u Novom Sadu
Link za donacije ⬇️","1,952",101,39,FALSE,FALSE,https://docs.google.com/spreadsheets/d/1GzGNqd6q4iWYtEftrvG3st_O9D5U2iAnSGwstz2pnzI/edit?usp=drivesdk,Community,,https://docs.google.com/spreadsheets/d/1GzGNqd6q4iWYtEftrvG3st_O9D5U2iAnSGwstz2pnzI/edit?usp=drivesdk,https://docs.google.com/spreadsheets/d/1GzGNqd6q4iWYtEftrvG3st_O9D5U2iAnSGwstz2pnzI/edit?usp=drivesdk,,,,,,
Ustanove,Srednja,Niš,,https://www.instagram.com/zastanimo.srednjoskolci.nis/,zastanimo.srednjoskolci.nis,"Srednjoškolci Niša, zastanimo!",Neformalna organizacija maturanata iz Niša.,"1,494",155,10,FALSE,FALSE,,,,,,,,,,,
Ustanove,Srednja,Lazarevac,,https://www.instagram.com/blokada.gimnazijaulazarevcu/,blokada.gimnazijaulazarevcu,Блокада Гимназије у Лазаревцу,Самоиницијативна група средњошколаца.,"1,009",132,7,FALSE,FALSE,,,,,,,,,,,
Ustanove,Srednja,Beograd,,https://www.instagram.com/v_blokada/,v_blokada,Блокада V београдске гимназије,Самоорганизовани матуранти V београдске гимназије су у блокади.,"1,571",82,14,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Beograd,,https://www.instagram.com/blokada.fmu/,blokada.fmu,Fakultet muzičke umetnosti u blokadi,"Zvanični profil studenata Fakulteta muzičke umetnosti u blokadi.
Mejl za donacije: fmudonacije@gmail.com","1,542",69,13,FALSE,FALSE,,,,,,,,,,,
Ustanove,Srednja,Šabac,,https://www.instagram.com/blokada_sg/,blokada_sg,Učenici Šabačke Gimnazije,Samoorganizovani maturanti Šabačke gimnazije su u blokadi.,957,45,9,FALSE,FALSE,,,,,,,,,,,
Ustanove,Srednja,Šabac,,https://www.instagram.com/gssublokadi/,gssublokadi,gimnazija sveti sava u blokadi,"@gimn.sv.sava
samoorganizovani maturanti
DRŽAVA JE VLASNIŠTVO DECE",682,22,9,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Niš,,https://www.instagram.com/blokada.gaf/,blokada.gaf,,Zvaničan profil studentske blokade Građevinsko-arhitektonskog fakulteta u Nišu,"1,140",67,17,FALSE,FALSE,https://drive.google.com/file/d/1rE290c7XBz0YYfHzJYf9_jrHr84FsutF,Education,,https://drive.google.com/file/d/1rE290c7XBz0YYfHzJYf9_jrHr84FsutF,https://drive.google.com/file/d/1rE290c7XBz0YYfHzJYf9_jrHr84FsutF,,,,,,
Ustanove,Srednja,Beograd,,https://www.instagram.com/xiii_blokada/,xiii_blokada,,"Samoorganizovani maturanti XIII beogradske gimnazije
Zvanični mail: trinaestablokade@gmail.com","1,093",9,10,FALSE,FALSE,,,,,,,,,,,
Ustanove,Srednja,Požarevac,,https://www.instagram.com/blokada.pogim/,blokada.pogim,Ученици Пожаревачке гимназије,"БЛОКАДА!
(У)СТАНИ","1,035",52,7,FALSE,FALSE,,,,,,,,,,,
Ustanove,Srednja,Beograd,,https://www.instagram.com/ets_tesla_blokada/,ets_tesla_blokada,Блокада у Електротехничкој школи „Никола Тесла“,• Самоорганизована група ученика Електротехничке школе „Никола Тесла“,"1,107",31,12,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Kragujevac,,https://www.instagram.com/fmnkg_blokada/,fmnkg_blokada,Studenti Fakulteta medicinskih nauka u Kragujevcu,Studenti koji formulišu promene,"1,573",45,35,FALSE,FALSE,,,,,,,,,,,
Ustanove,Srednja,Sremska Mitrovica,,https://www.instagram.com/blokada_mitrovacka_gimnazija/,blokada_mitrovacka_gimnazija,Samoinicijativna organizacija maturanata Mitrovačke gimnazije,Mitrovačka gimnazija je (u)stala,"1,041",85,8,FALSE,FALSE,,,,,,,,,,,
Ustanove,Srednja,Beograd,,https://www.instagram.com/zastani.graficka/,zastani.graficka,Zastanimo.Grafičari,",,Zastani Grafička” je glas podrške studentima i znak solidarnosti sa nastradalima u Novom Sadu, sa jasnim zahtevom za pravdu i odgovornost.","1,006",70,33,FALSE,FALSE,,,,,,,,,,,
Ustanove,Srednja,Beograd,,https://www.instagram.com/xivblokada/,xivblokada,Блокада XIV београдске гимназије,"Самоорганизовани матуранти XIV београдске гимназије. Немамо никакве везе са било каквим политичким идеологијама, покретима или странкама.","1,291",24,9,FALSE,FALSE,,Blogger,,,,,,,,,
Treća Lica,,,,https://www.instagram.com/svice.dijaspora/,svice.dijaspora,Organizovana grupa SviĆe - Dijaspora,"Deo mreže @svice.rs 🐰
SviĆe i dijaspora će!","3,546",57,40,FALSE,FALSE,http://patreon.com/Protestimladih?utm_medium=clipboard_copy&utm_source=copyLink&utm_campaign=creatorshare_fan&utm_content=join_link,,,http://patreon.com/Protestimladih?utm_medium=clipboard_copy&utm_source=copyLink&utm_campaign=creatorshare_fan&utm_content=join_link,http://patreon.com/Protestimladih?utm_medium=clipboard_copy&utm_source=copyLink&utm_campaign=creatorshare_fan&utm_content=join_link,http://forms.gle/DVD84EK18UZW6vMaA,,,,,
Treća Lica,,,,https://www.instagram.com/usrana.motka/,usrana.motka,Usrana Motka,"Kad nepravda postane zakon, otpor postaje dužnost!
Protiv kleptokratije i imperijalizma!
🄯Slobodno kopiranje/preuzimanje.Širite istinu!
Necenzurisano:","105,188","1,452","10,673",FALSE,FALSE,http://t.me/usrana_motka,Political Organization,,http://t.me/usrana_motka,http://t.me/usrana_motka,https://www.youtube.com/@usrana_motka,,,,,
Treća Lica,Srednja,,,https://www.instagram.com/pes_u_blokadi/,pes_u_blokadi,,Самоорганизована група матураната из Прве економске школе,670,113,4,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Niš,,https://www.instagram.com/blokada.dif/,blokada.dif,Blokada FSFV Niš,Zvanična stranica studenata Fakulteta sporta i fizičkog vaspitanja u Nišu u blokadi!,675,62,9,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Beograd,,https://www.instagram.com/dtm.blokada/,dtm.blokada,dtm blokada,Akademija tehničko - umetničkih strukovnih studija Beograd (Odsek visoka tekstilna škola za dizajn tehnologiju i menadžment),428,96,18,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Beograd,,https://www.instagram.com/blokadaviser/,blokadaviser,Studentski plenum VIŠER-a,Zvanični profil Studentskog plenuma Visoke škole elektrotehnike i računarstva u Beogradu.,"1,394",64,25,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Beograd,,https://www.instagram.com/blokada.sfbg/,blokada.sfbg,SF BG BLOKADE,Zvanični profil studentske blokade Saobraćajnog fakulteta Univerziteta u Beogradu 🚫🚦,"1,516",70,33,FALSE,FALSE,,,,,,,,,,,
Krovni Nalozi,-,Valjevo,,https://www.instagram.com/studenti.valjevo/,studenti.valjevo,blokada.valjevo,"-Званични профил блокада у Ваљеву. Факултета,виших и средњих школа!!!
-Ваљево (У)СТАНИ!!!
-Корупција убија!!!
Тикток: @studenti.valjevo",448,116,9,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Beograd,,https://www.instagram.com/blokada.sumarski/,blokada.sumarski,Blokada Šumarskog fakulteta u Beogradu,"Studenti Šumarskog fakulteta
Termin narednog plenuma: 30.12.(ponedeljak) u 13h
Sve informacije o donacijama se nalaze u highlight-u ispod!!!","1,249",81,48,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Beograd,,https://www.instagram.com/tmf.blokada/,tmf.blokada,TMF PROREAGOVAO,Studenti Tehnološko-metalurškog fakulteta,"2,133",92,31,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Novi Sad,,https://www.instagram.com/fsu_blokade/,fsu_blokade,,"- Svi u blokade!
- ⁠Samoorganizovana grupa studenata Fakulteta savremenih umetnosti
-Univerzitet privredne akademije u NS 
-Priključi se, Blokiraj!","1,145",21,24,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Novi Sad,,https://www.instagram.com/blokada_vps/,blokada_vps,Visoka Poslovna Škola Novi Sad,,735,58,15,FALSE,FALSE,,,,,,,,,,,
Ustanove,Srednja,Beograd,,https://www.instagram.com/ix_blokada/,ix_blokada,Blokada Devete gimnazije,"„Живот је река – немиран, али пун прилика, ако знаш како да пловиш.“- М.П. Алас","1,299",58,10,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Beograd,,https://www.instagram.com/blokada.hf/,blokada.hf,Zvanični profil blokade hfub!,,"1,146",81,15,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Novi Sad,,https://www.instagram.com/blokada_vtsns/,blokada_vtsns,Zvanični profil Visoke tehničke škole u blokadi,"🛑 Samoorganizovani studenti 
🛑 Zahtevamo pravdu!
🛑 Zvanično blokiran od 16.12.",478,67,11,FALSE,FALSE,,,,,,,,,,,
Ustanove,Srednja,Užice,,https://www.instagram.com/blokada.ug/,blokada.ug,Матуранти Ужичке гимназије,"(У)стали смо!
Да дођу деца, да оду људи.","1,014",74,7,FALSE,FALSE,,,,,,,,,,,
Ustanove,Srednja,Beograd,,https://www.instagram.com/blokadades/,blokadades,Druga Ekonomska Škola,Једини прави профил.,473,40,4,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Kragujevac,,https://www.instagram.com/blokada_ekf/,blokada_ekf,Podrška studentima - Ekonomski fakultet u Kragujevcu,Studenti Ekonomskog fakulteta u Kragujevcu  staju uz svoje kolege i koleginice sa ostalih fakulteta!,925,59,17,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Subotica,,https://www.instagram.com/blokada.ef.su.uns/,blokada.ef.su.uns,"нЕКО мора, а то смо МИ!",Једини званични профил студентске блокаде Економског факултета у Суботици.,850,28,14,FALSE,FALSE,,,,,,,,,,,
Ustanove,Srednja,Novi Sad,,https://www.instagram.com/lazina.se.budi/,lazina.se.budi,Maturanti gimnazije “Laza Kostić”,"Lazinaši više neće da ćute,
Santa Maria della Salute ‼️",844,91,13,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Novi Pazar,,https://www.instagram.com/studentski.protesti.dunp/,studentski.protesti.dunp,Studentski protesti DUNP,Zvaničan profil grupe slobodnih studenata SP Psihologije DUNP-a koji pružaju podršku studentima širom zemlje u blokadi,675,53,6,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Niš,,https://www.instagram.com/pmfnis_blokada/,pmfnis_blokada,Neformalna grupa studenata PMF-a u Nišu,"Prirodno-matematički fakultet i te kako ima veze sa projektom ,,𝙅𝙖𝙙𝙖𝙧""
#NešKopat",746,38,25,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Niš,,https://www.instagram.com/eknfak.blokada/,eknfak.blokada,,"Blokada Ekonomskog Fakulteta
Univerzitet u Nišu",958,53,14,FALSE,FALSE,,,,,,,,,,,
Ustanove,Srednja,Obrenovac,,https://www.instagram.com/gimnazija.u.obrenovcu.blokada/,gimnazija.u.obrenovcu.blokada,Blokada Gimnazije u Obrenovcu,"- Samoorganizovana grupa učenika Gimnazije u Obrenovcu
- Priključi se blokadi
#blokada #rukesuvamkrvave",864,85,3,FALSE,FALSE,,,,,,,,,,,
Ustanove,Srednja,Kraljevo,,https://www.instagram.com/sskv.protest/,sskv.protest,✊🏻,"И ШУМАРСКА ЈЕ (У)СТАЛА
#kraljevoustaje 
БЛОКАДА!",299,57,4,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Niš,,https://www.instagram.com/filfak.blokada/,filfak.blokada,Блокада Филозофског факултета у Нишу,До испуњења захтева!,590,57,8,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Beograd,,https://www.instagram.com/blokada.fmk/,blokada.fmk,,Studenti FMK-a traže krivičnu odgovornost za tragediju u Novom Sadu i za napade na studente i profesore na protestima! ✊🏻,724,29,1,FALSE,FALSE,,,,,,,,,,,
Ustanove,Srednja,Kraljevo,,https://www.instagram.com/blokada.etskv/,blokada.etskv,БЛОКАДА!,"И ЕКОНОМСКА ЈЕ (У)СТАЛА
#kraljevoustaje
СВЕ званичне информације у вези блокаде ЕТШ су на овом профилу.
Средњошколци Краљева застанимо!",264,45,5,FALSE,FALSE,,,,,,,,,,,
Ustanove,Srednja,Beograd,,https://www.instagram.com/x_blokada/,x_blokada,Блокада Десете гимназије,@deseta.gimnazija,"1,256",68,9,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Zrenjanin,,https://www.instagram.com/blokada.tfzr/,blokada.tfzr,Studenti TFZR-a,,819,44,11,FALSE,FALSE,,,,,,,,,,,
Ustanove,Srednja,Beograd,,https://www.instagram.com/msnp_blokada/,msnp_blokada,,"Матуранти средње медицинске школе ,,Надежда Петровић” Земун",258,67,8,FALSE,FALSE,,,,,,,,,,,
Ustanove,Srednja,Beograd,,https://www.instagram.com/prva_u_blokadi/,prva_u_blokadi,Blokada Prve beogradske gimnazije,"Profil samoorganizovanih maturanata Prve beogradske gimnazije 📚
@prva.beogradska.gimnazija","1,096",48,10,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Novi Sad,,https://www.instagram.com/fsfvns_blokada/,fsfvns_blokada,,"BLOKADA
Fakulteta sporta i fizičkog vaspitanja 
Novi Sad","1,017",50,29,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Beograd,,https://www.instagram.com/raf_protest/,raf_protest,Студенти РАФ-а,Самоорганизована група студената РАФ-а,652,20,9,FALSE,FALSE,,,,,,,,,,,
Ustanove,Srednja,Novi Sad,,https://www.instagram.com/mileva.maric.se.budi/,mileva.maric.se.budi,"Неформална организација ученика ТШ,,Милева Марић Ајнштајн""",линк за приступ ученичкој групи ⬇️,795,90,13,FALSE,FALSE,,,,,,,,,,,
Ustanove,Viša,Beograd,,https://www.instagram.com/bapuss_blokada/,bapuss_blokada,BAPUSS BLOKADA,,"1,079",115,17,FALSE,FALSE,,,,,,,,,,,
