red,vrsta_naloga,vrsta_institucije,Grad,email,Link za Uputstva za Donacije,Ime Institucije,nalog,Username,Full Name,Biography,Followers Count,Following Count,Posts Count,Is Private,Is Verified,External URL,Category,Pronouns,Bio Link 1,Bio Link 2,Bio Link 3,,,,,ime_institucije
10,Ustanove,Viša,Novi Sad,,Mfns donacije,Medicinski fakultet,https://www.instagram.com/blokada_mfns/,blokada_mfns,Studenti Medicinskog Fakulteta u Novom Sadu🩺,,"4,253",52,42,FALSE,FALSE,,,,,,,,,,,
11,Ustanove,Viša,Beograd,,EKOF Donacije,Ekonomski fakultet,https://www.instagram.com/ekof.blokada/?hl=en&g=5,ekof.blokada,ekof.blokada,"Jedini zvanični profil plenuma EKOF-a
❗Svaki dan, 11:52h 
👇LISTA ZA DONACIJE👇","4,222",82,58,FALSE,FALSE,https://docs.google.com/spreadsheets/d/1NMGxpySDPHrpObgBtVFdnQZ_tKfmJggb94vTaOzmoiQ/edit?usp=sharing,Community,,https://docs.google.com/spreadsheets/d/1NMGxpySDPHrpObgBtVFdnQZ_tKfmJggb94vTaOzmoiQ/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1NMGxpySDPHrpObgBtVFdnQZ_tKfmJggb94vTaOzmoiQ/edit?usp=sharing,,,,,,
12,Ustanove,Viša,Novi Sad,,https://www.instagram.com/p/DEKapLLoA4z/?img_index=2,Filozofski fakultet,https://www.instagram.com/blokada.ffuns/,blokada.ffuns,Blokada FFUNS,"Zvaničan profil blokade Filozofskog fakulteta u Novom Sadu
🤲🏻🩸","3,916",72,40,FALSE,FALSE,https://linktr.ee/blokadaffuns,Community,,https://linktr.ee/blokadaffuns,https://linktr.ee/blokadaffuns ,,,,,,
13,Ustanove,Viša,Beograd,,,"Arhitektonski fakultet
",https://www.instagram.com/blokada.arh.bg?hl=en&g=5,blokada.arh.bg,,"Zvanični profil studentske blokade Arhitektonskog fakulteta Univerziteta u Beogradu
- glas plenuma","3,602",45,63,FALSE,FALSE,,,,,,,,,,,Fakultet Dramske umetnosti
14,Ustanove,Viša,Novi Sad,blokadapmflogistika@gmail.com,Potrebe PMF-a,Prirodno matematički fakultet,https://www.instagram.com/blokadapmf/,blokadapmf,Studenti PMF-a,,"3,594",46,38,FALSE,FALSE,https://linktr.ee/blokadapmf,Community Organization,,https://linktr.ee/blokadapmf,https://linktr.ee/blokadapmf,,,,,,Pravni fakultet
,Treća Lica,,-,,http://patreon.com/Protestimladih?utm_medium=clipboard_copy&utm_source=copyLink&utm_campaign=creatorshare_fan&utm_content=join_link,,https://www.instagram.com/svice.dijaspora/,svice.dijaspora,Organizovana grupa SviĆe - Dijaspora,"Deo mreže @svice.rs 🐰
SviĆe i dijaspora će!","3,569",58,42,FALSE,FALSE,http://patreon.com/Protestimladih?utm_medium=clipboard_copy&utm_source=copyLink&utm_campaign=creatorshare_fan&utm_content=join_link,,,http://patreon.com/Protestimladih?utm_medium=clipboard_copy&utm_source=copyLink&utm_campaign=creatorshare_fan&utm_content=join_link,http://patreon.com/Protestimladih?utm_medium=clipboard_copy&utm_source=copyLink&utm_campaign=creatorshare_fan&utm_content=join_link,http://forms.gle/DVD84EK18UZW6vMaA,,,,,Farmaceutski fakultet Beograd
15,Ustanove,Viša,Beograd,blokadafarmacija@gmail.com,,Farmaceutski fakultet,https://www.instagram.com/blokada.ffubg/,blokada.ffubg,Farmaceutski fakultet Beograd,"❗️ustao da podrži studente u borbi
❗️stao s radom do ispunjenja zahteva blokadafarmacija@gmail.com","3,554",42,34,FALSE,FALSE,,Community,,,,,,,,,Arhitektonski Fakultet
16,Ustanove,Viša,Beograd,,,Poljoprivredni fakultet,https://www.instagram.com/poljoprivredniblokada/,poljoprivredniblokada,БЛОКАДА ПОЉОПРИВРЕДНИ,Студенти Пољопривредног факултета у Београду се придружују блокадама!,"2,899",49,34,FALSE,FALSE,,,,,,,,,,,Fakultet Organizacionih Nauka (FON)
17,Ustanove,Viša,Beograd,,POTREBNI RESURSI,Filološki fakultet,https://www.instagram.com/filoloski.blokada/?hl=en&g=5,filoloski.blokada,Blokada Filološkog fakulteta Univerziteta u Beogradu,"Samoorganizovani studenti Filološkog fakulteta u blokadi 📝
Plenum: 14:30 pon–sub, Sala Heroja
Link ka Blokadnom časopisu:","2,896",60,35,FALSE,FALSE,https://filoblok.info/,Community,,https://filoblok.info/,https://filoblok.info/,,,,,,Ekonomski Fakultet
18,Ustanove,Srednja,Novi Sad,,,"Gimnazija ""Jovan Jovanović Zmaj""",https://www.instagram.com/jovinasepita/,jovinasepita,,"Да сачувамо Јовину! 
jovinasepita@gmail.com","2,811",55,23,FALSE,FALSE,,,,,,,,,,,Fizicka hemija
19,Ustanove,Viša,Beograd,rglogistikamasinski@gmail.com,POTREBNE STVARI ZA BLOKADE - MAŠINSKI FAKULTET,Mašinski fakultet,https://www.instagram.com/masinci.u.blokadi/,masinci.u.blokadi,Машинци,Студентски пленум Машинског факултета Универзитета у Београду,"2,788",45,79,FALSE,FALSE,https://linktr.ee/masinci,Student Union,,https://linktr.ee/masinci,https://linktr.ee/masinci,,,,,,DIF
20,Ustanove,Viša,Beograd,,,Građevinski fakultet,https://www.instagram.com/grf.blokade/,grf.blokade,GRF BLOKADE,"🔺 Samoorganizovana grupa studenata Građevinskog fakulteta Univerziteta u Beogradu
🫵🏼 Pokaži da ti je stalo!","2,653",45,74,FALSE,FALSE,,Student Union,,,,,,,,,Gradjevinski 
21,Ustanove,Viša,Beograd,donacijeffub@gmail.com ,POTREBNI RESURSI,Filozofski fakultet,https://www.instagram.com/filozofi.u.blokadi/?hl=en&g=5,filozofi.u.blokadi,Blokada Filozofskog fakulteta u Beogradu,Zvanična stranica samoorganizovanih studenata Filozofskog fakulteta Univerziteta u Beogradu u blokadi!,"2,562",39,57,FALSE,FALSE,https://docs.google.com/document/d/1kUXA7vdB1IvK8-VaToqP44bL8lW5h6Ha2LJTZPGYkTM/edit?usp=drivesdk,Community,,https://docs.google.com/document/d/1kUXA7vdB1IvK8-VaToqP44bL8lW5h6Ha2LJTZPGYkTM/edit?usp=drivesdk,https://docs.google.com/document/d/1kUXA7vdB1IvK8-VaToqP44bL8lW5h6Ha2LJTZPGYkTM/edit?usp=drivesdk,https://youtu.be/NOhDYxKLZg4?si=6Gp07_q0wBxQqqf1,,,,,Bezbednost
22,Ustanove,Viša,Beograd,studentskiplenumfb@gmail.com,Донације,Fakultet bezbednosti,https://www.instagram.com/blokada.fb/,blokada.fb,Studenti Fakulteta bezbednosti u Beogradu,"""Bezbednost je imperativ naše slobode.""","2,360",107,22,FALSE,FALSE,https://docs.google.com/document/d/1ccjf2h49ldl_bPK_17yW37oVt8_1lxO2zK1RO5v8c_g/edit?usp=sharing,Artist,,https://docs.google.com/document/d/1ccjf2h49ldl_bPK_17yW37oVt8_1lxO2zK1RO5v8c_g/edit?usp=sharing,https://docs.google.com/document/d/1ccjf2h49ldl_bPK_17yW37oVt8_1lxO2zK1RO5v8c_g/edit?usp=sharing,,,,,,Poljoprivredni
23,Ustanove,Viša,Beograd,,,DIF,https://www.instagram.com/dif.blokada/,dif.blokada,DIF JE (U)STAO !,"❗️ustao da podrži studente u borbi
❗️stao s radom do ispunjenja zahteva","2,349",46,23,FALSE,FALSE,,,,,,,,,,,Masinski
,Treća Lica,-,-,,,,https://www.instagram.com/pokrenimomacvu/,pokrenimomacvu,Покренимо Мачву,,"2,311","3,803",605,FALSE,FALSE,,,,,,,,,,,
24,Ustanove,Viša,Beograd,,POTREBNI RESURSI,Tehnološko-metalurški fakultet,https://www.instagram.com/tmf.blokada/,tmf.blokada,TMF PROREAGOVAO,Studenti Tehnološko-metalurškog fakulteta,"2,133",92,31,FALSE,FALSE,,,,,,,,,,,
25,Ustanove,Viša,Novi Sad,,Tabela bez naslova,Poljoprivredni fakultet,https://www.instagram.com/poljns_blokada/,poljns_blokada,Poljoprivredni fakultet u Novom Sadu - Blokada,"Zvanična stranica studenata u blokadi Poljoprivrednog fakulteta u Novom Sadu
Link za donacije ⬇️","1,952",101,39,FALSE,FALSE,https://docs.google.com/spreadsheets/d/1GzGNqd6q4iWYtEftrvG3st_O9D5U2iAnSGwstz2pnzI/edit?usp=drivesdk,Community,,https://docs.google.com/spreadsheets/d/1GzGNqd6q4iWYtEftrvG3st_O9D5U2iAnSGwstz2pnzI/edit?usp=drivesdk,https://docs.google.com/spreadsheets/d/1GzGNqd6q4iWYtEftrvG3st_O9D5U2iAnSGwstz2pnzI/edit?usp=drivesdk,,,,,,
26,Ustanove,Viša,Beograd,,POTREBNI RESURSI,Fakultet likovnih umetnosti,https://www.instagram.com/flu_blokada/,flu_blokada,,Zvaničan studentski profil blokade Fakulteta likovnih umetnosti u Beogradu,"1,885",40,21,FALSE,FALSE,,,,,,,,,,,
27,Ustanove,Viša,Beograd,grupastudenata.stomfbg@gmail.com,POTREBNI RESURSI,Stomatološki fakultet,https://www.instagram.com/stomfbg_blokada/,stomfbg_blokada,Samoorganizovana grupa studenata stomatologije,"Zvanična instagram stranica grupa studenata stomatologije.
Mail: grupastudenata.stomfbg@gmail.com","1,785",44,66,FALSE,FALSE,,,,,,,,,,,
28,Ustanove,Viša,Novi Sad,,https://www.instagram.com/p/DEKapLLoA4z/?img_index=2,Tehnološki fakultet,https://www.instagram.com/tehnoloski_u_blokadi/,tehnoloski_u_blokadi,Blokada Tehnološkog fakulteta,Univerzitet u Novom Sadu,"1,614",124,34,FALSE,FALSE,,,,,,,,,,,
39,Ustanove,Srednja,Kragujevac,,,Prva kragujevačka gimnazija,https://www.instagram.com/blokada.pkg/,blokada.pkg,,"БЛОКАДА!
(У)СТАНИ
Да ли стрепиш да ћеш остати жив када изађеш на улицу?
#rukesuvamkrvave #blokada #namladimasvetostaje","1,584",158,9,FALSE,FALSE,,,,,,,,,,,
30,Ustanove,Srednja,Beograd,,,V beogradska gimnazija,https://www.instagram.com/v_blokada/,v_blokada,Блокада V београдске гимназије,Самоорганизовани матуранти V београдске гимназије су у блокади.,"1,577",82,14,FALSE,FALSE,,,,,,,,,,,
31,Ustanove,Viša,Kragujevac,,,Fakultet medicinskih nauka,https://www.instagram.com/fmnkg_blokada/,fmnkg_blokada,Studenti Fakulteta medicinskih nauka u Kragujevcu,Studenti koji formulišu promene,"1,577",45,35,FALSE,FALSE,,,,,,,,,,,
32,Ustanove,Viša,Beograd,fmudonacije@gmail.com,,Fakultet za obrazovanje učitelja i vaspitača,https://www.instagram.com/blokada.fmu/,blokada.fmu,Fakultet muzičke umetnosti u blokadi,"Zvanični profil studenata Fakulteta muzičke umetnosti u blokadi.
Mejl za donacije: fmudonacije@gmail.com","1,561",69,15,FALSE,FALSE,,,,,,,,,,,
33,Ustanove,Viša,Beograd,,,Saobraćajni fakultet,https://www.instagram.com/blokada.sfbg/,blokada.sfbg,SF BG BLOKADE,Zvanični profil studentske blokade Saobraćajnog fakulteta Univerziteta u Beogradu 🚫🚦,"1,516",70,33,FALSE,FALSE,,,,,,,,,,,
34,Krovni Nalozi,Srednja,Niš,,,Neformalna organizacija maturanata iz Niša.,https://www.instagram.com/zastanimo.srednjoskolci.nis/,zastanimo.srednjoskolci.nis,"Srednjoškolci Niša, zastanimo!",Neformalna organizacija maturanata iz Niša.,"1,502",155,10,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Beograd,fasperstudenti.inicijativa@gmail.com,POTREBNI RESURSI,Fakultet za specijalnu edukaciju i rehabilitaciju,https://www.instagram.com/fasper_inicijativa_studenata/,fasper_inicijativa_studenata,FASPER U BLOKADI NASTAVE,"Mejl adresa za donacije:
fasperstudenti.inicijativa@gmail.com","1,439",126,18,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Beograd,donacijeffub@gmail.com ,POTREBNI RESURSI,Matematički fakultet,https://www.instagram.com/blokada.matf/,blokada.matf,Blokada Matematičkog fakulteta Univerziteta u Beogradu,,"1,426",105,21,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Beograd,,https://qrco.de/bfe7sE?trackSharing=1,Fakultet veterinarske medicine,https://www.instagram.com/fvm_blokade/?hl=en,fvm_blokade,Fvm Blokade,"Samoorganizovana grupa studenata Fakulteta veterinarske medicine 
Ovde možete pratiti sve aktivnosti blokada na FVM","1,408",173,32,FALSE,FALSE,https://qrco.de/bfe7sE,,,https://qrco.de/bfe7sE,https://qrco.de/bfe7sE,,,,,,
,Ustanove,Viša,Niš,,,Medicinski fakultet,https://www.instagram.com/medfakni_blokada/?hl=en,medfakni_blokada,,Studenti Medicinskog fakulteta Univerziteta u Nišu🥼🦷💊,"1,408",15,26,FALSE,FALSE,https://docs.google.com/forms/d/e/1FAIpQLSewZ6Q3nnXw8WLrA-7mRqZva63GzqW4T6rllFpMjhZcaOxwRw/viewform?usp=header,,,https://docs.google.com/forms/d/e/1FAIpQLSewZ6Q3nnXw8WLrA-7mRqZva63GzqW4T6rllFpMjhZcaOxwRw/viewform?usp=header,https://docs.google.com/forms/d/e/1FAIpQLSewZ6Q3nnXw8WLrA-7mRqZva63GzqW4T6rllFpMjhZcaOxwRw/viewform?usp=header,,,,,,
,Ustanove,Viša,Beograd,,,Visoke škole elektrotehnike i računarstva,https://www.instagram.com/blokadaviser/,blokadaviser,Studentski plenum VIŠER-a,Zvanični profil Studentskog plenuma Visoke škole elektrotehnike i računarstva u Beogradu.,"1,394",64,25,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Kragujevac,,,Filološko-umetnički fakultet,https://www.instagram.com/blokadafilum/?hl=en,blokadafilum,Blokada Filum,"Studenti Filuma staju uz svoje kolege i koleginice sa ostalih fakulteta!
📧 filum.blokada@gmail.com","1,391",39,33,FALSE,FALSE,https://docs.google.com/forms/d/e/1FAIpQLSdxMyvkdbrzeUr-mUB4x0s7iHIFSyRu9PDm0Wp-aGIlVKxpAQ/viewform?pli=1,Blogger,,https://docs.google.com/forms/d/e/1FAIpQLSdxMyvkdbrzeUr-mUB4x0s7iHIFSyRu9PDm0Wp-aGIlVKxpAQ/viewform?pli=1,https://docs.google.com/forms/d/e/1FAIpQLSdxMyvkdbrzeUr-mUB4x0s7iHIFSyRu9PDm0Wp-aGIlVKxpAQ/viewform?pli=1,,,,,,
,Ustanove,Viša,Beograd,bioloziublokadi@gmail.com,,Biološki fakultet,https://www.instagram.com/blokada.bioloski/,blokada.bioloski,Zvaničan profil studenata Biološkog fakulteta u blokadi,▫️bioloziublokadi@gmail.com,"1,347",47,28,FALSE,FALSE,https://forms.gle/NJab9As3wegnqrxm8,,,https://forms.gle/NJab9As3wegnqrxm8,https://forms.gle/NJab9As3wegnqrxm8,https://docs.google.com/forms/d/e/1FAIpQLScB9pAkfhsoqOSunz-IPLNL7H3iAoE_F4rMhfjHv4MGZ2Qo9A/viewform?usp=header,,,,,
,Ustanove,Srednja,Beograd,,,XIV beogradska gimnazija,https://www.instagram.com/xivblokada/,xivblokada,Блокада XIV београдске гимназије,"Самоорганизовани матуранти XIV београдске гимназије. Немамо никакве везе са било каквим политичким идеологијама, покретима или странкама.","1,300",24,9,FALSE,FALSE,,Blogger,,,,,,,,,
,Ustanove,Srednja,Beograd,,,IX beogradska gimnazija,https://www.instagram.com/ix_blokada/,ix_blokada,Blokada Devete gimnazije,"„Живот је река – немиран, али пун прилика, ако знаш како да пловиш.“- М.П. Алас","1,299",58,10,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Beograd,,,X beogradska gimnazija,https://www.instagram.com/x_blokada/,x_blokada,Блокада Десете гимназије,@deseta.gimnazija,"1,256",68,9,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Beograd,donacijeffub@gmail.com ,POTREBNI RESURSI,Šumarski fakultet,https://www.instagram.com/blokada.sumarski/,blokada.sumarski,Blokada Šumarskog fakulteta u Beogradu,"Studenti Šumarskog fakulteta
Termin narednog plenuma: 30.12.(ponedeljak) u 13h
Sve informacije o donacijama se nalaze u highlight-u ispod!!!","1,249",81,48,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Beograd,,,Visoka zdravstvena škola,https://www.instagram.com/vzs_blokada/?hl=en,vzs_blokada,Блокада ВЗШ,"Непрофитна, нестраначка, самоорганизована група студената Високе здравствене школе","1,243",48,16,FALSE,FALSE,https://linktr.ee/vzsblokada,Community,,https://linktr.ee/vzsblokada,https://linktr.ee/vzsblokada,,,,,,
,Ustanove,Viša,Niš,,,Građevinsko-arhitektonski fakultet,https://www.instagram.com/blokada.gaf/,blokada.gaf,,Zvaničan profil studentske blokade Građevinsko-arhitektonskog fakulteta u Nišu,"1,156",67,18,FALSE,FALSE,https://ethercalc.net/u8ta9opg2lig,Education,,https://ethercalc.net/u8ta9opg2lig,https://ethercalc.net/u8ta9opg2lig,,,,,,
,Ustanove,Viša,Beograd,,POTREBNI RESURSI,Hemijski fakultet,https://www.instagram.com/blokada.hf/,blokada.hf,Zvanični profil blokade hfub!,,"1,146",81,15,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Novi Sad,,,Fakultet savremenih umetnosti,https://www.instagram.com/fsu_blokade/,fsu_blokade,,"- Svi u blokade!
- ⁠Samoorganizovana grupa studenata Fakulteta savremenih umetnosti
-Univerzitet privredne akademije u NS 
-Priključi se, Blokiraj!","1,145",21,24,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Čačak,,,Gimnazija Čačak,https://www.instagram.com/blokada.gimn.ca/,blokada.gimn.ca,Blokada Gimnazija Cacak,Jedine zvanicne informacije vezane za blokadu Gimnazije u Cacku,"1,144",299,21,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Niš,,,Elektronski fakultet,https://www.instagram.com/blokada.elfak/?hl=en,blokada.elfak,Студенти Електронског факултета,"Студенти Електронског факултета са циљем да охрабре све студенте да искажу своје ставове.
Зашто је правилник нелегалан?","1,142",6,32,FALSE,FALSE,https://docs.google.com/document/d/1-3lYKq0hP89Gd9bVVphAmWESAp-mRBfW/edit?usp=drivesdk&ouid=104739358777076940402&rtpof=true&sd=true,,,https://docs.google.com/document/d/1-3lYKq0hP89Gd9bVVphAmWESAp-mRBfW/edit?usp=drivesdk&ouid=104739358777076940402&rtpof=true&sd=true,https://docs.google.com/document/d/1-3lYKq0hP89Gd9bVVphAmWESAp-mRBfW/edit?usp=drivesdk&ouid=104739358777076940402&rtpof=true&sd=true,,,,,,
,Ustanove,Viša,Beograd,,,Fakultet za obrazovanje učitelja i vaspitača,https://www.instagram.com/blokada_uf/,blokada_uf,Studenti Fakulteta za obrazovanje učitelja i vaspitača,"„Онај ко буди знање, не сме да спава пред неправдом.”
Званични профил непрофитне нестраначке групе студената блокаде Учитељског факултета.","1,130",22,25,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Beograd,,,Rudarsko-geološki fakultet,https://www.instagram.com/blokada.rgf/?hl=en,blokada.rgf,,Zvanični profil plenuma Rudarsko-geološkog fakulteta Univerziteta u Beogradu,"1,118",31,28,FALSE,FALSE,,Personal blog,,,,,,,,,
